word	file	lines
Audiographer	About.md	36
Audiography	About.md	37
benchmarking	README.md	11
Bookdown	README.md	3
Cliffe	About.Rmd	23
Cliffe	About.md	23
Cliffe	About.md	20,117
Coursera	README.md	3
creativecommons	LICENSE.md	378,395
DISCOVERABLE	LICENSE.md	286
enforceability	LICENSE.md	359
ExampleWorkspace	08-student_modules.md	101
faq	code_of_conduct.md	123
FHDaSL	index.Rmd	2
Firstname	08-student_modules.md	101,156
FirstName	About.Rmd	23
FirstName	About.md	23
FirstName	About.md	14,117
Funder	About.md	39
Generis	LICENSE.md	85,123,262,264,271
https	code_of_conduct.md	117,123,124
Humphries	About.Rmd	23
Humphries	About.md	23
Humphries	About.md	17,117
ies	LICENSE.md	112
immunities	LICENSE.md	370
Lastname	08-student_modules.md	101,156
LastName	About.Rmd	23
LastName	About.md	23
LastName	About.md	14,117
Licensor	LICENSE.md	59,71,103,107,112,333,344,366,370,378
LICENSOR	LICENSE.md	286,297
MERCHANTABILITY	LICENSE.md	286
Muschelli	About.Rmd	18,23
Muschelli	About.md	18,23
Muschelli	About.md	30,117
Savonen	About.Rmd	15,16,17,18,23
Savonen	About.md	15,16,17,18,23
Savonen	About.md	27,28,29,30,117
sexualized	code_of_conduct.md	30
socio	code_of_conduct.md	6
synched	LICENSE.md	71
textbox	08-student_modules.md	274,284,434
Videographer	About.md	34
Videography	About.md	35
WIPO	LICENSE.md	93
